Question,Category,Sub Category
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
When will I get my student kit?,student-kit,delivery-status
Could you please provide an update on the delivery status of my student kit?,student-kit,delivery-status
"The delivery status for my Kit shows as ""Details not found"", what do I do next?",student-kit,delivery-status
"The delivery status for my Kit shows as ""Delivered"", but I have not received it? Please let me know where my Kit is.",student-kit,delivery-status
Could you please connect me with my mentor for guidance and support?,learning-support,mentor-support
"I need help in assignment, i want a doubt clearing session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
Why am I the only participant in the classroom?,product-support,zoom/nolan-authentication
Where can I find lecture PPTs and notes?,product-support,lms-learning-management-system
My assignments show as overdue but I can't submit them. What should I do?,product-support,lms-learning-management-system
"I can't see anything on my LMS, it's blank",product-support,lms-learning-management-system
"I have completed the assignment but it still shows ""In Progress""",product-support,lms-learning-management-system
I have completed the assignment but can't submit,product-support,lms-learning-management-system
I can't access recorded lectures or they're not playing. What should I do?,product-support,lms-learning-management-system
Does Foundation/Pre-req Attendance be considered for overall program clearnance?,attendance-query,attendance-tracking
How is attendance calculated?,attendance-query,attendance-tracking
What is the attendance criteria to clear the program?,attendance-query,attendance-tracking
How can I track my attendance for class ?,attendance-query,attendance-criteria
I have been marked absent even though I have attended the class.,attendance-query,attendance-marked-incorrectly
The attendance status has not been updated even after watching the whole recording,attendance-query,attendance-marked-incorrectly
How often will assessments be conducted during the program?,evaluation,evaluation-plan
Do the Foundation/Pre-req session have evaluations at the end?,evaluation,evaluation-plan
Where will my offline exam be conducted?,evaluation,offline-exams
When will the offline exams be conducted?,evaluation,offline-exams
How can I refer someone to join a program?,referrals,referrals
When will the referral amount be transferred?,referrals,referrals
How can i update the bank account details for a referral?,referrals,referrals
Can we visit the campus as a part of the program?,campus-connect,campus-connect
